time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 1495, 18.046823, 3, 296, 8, 11, 14
1, 1626, 17.564576, 2, 228, 8, 11, 14
2, 1582, 17.365992, 1, 282, 8, 10, 14
3, 1703, 16.910746, 2, 263, 8, 10, 14
4, 1606, 17.199875, 0, 331, 8, 10, 14
5, 1643, 17.073037, 1, 390, 8, 10, 14
6, 1571, 17.750477, 1, 270, 8, 10, 15
7, 1580, 17.416456, 2, 262, 8, 11, 14
8, 1486, 19.152759, 2, 356, 9, 12, 16
9, 1397, 20.319971, 3, 292, 10, 13, 17
10, 1243, 22.291231, 1, 364, 11, 14, 18
11, 1164, 23.878866, 3, 424, 11, 14, 19
12, 1051, 26.802093, 2, 323, 12, 17, 23
13, 1079, 25.801668, 4, 435, 13, 16, 22
14, 1029, 27.664723, 1, 361, 13, 17, 22
15, 1073, 27.420317, 3, 418, 14, 18, 23
16, 969, 29.145511, 5, 490, 14, 18, 23
17, 983, 27.417091, 4, 775, 13, 17, 23
18, 986, 28.696755, 3, 573, 13, 17, 23
19, 1037, 26.456123, 4, 411, 13, 16, 22
20, 1155, 25.309957, 4, 502, 12, 15, 21
21, 1096, 25.400547, 1, 358, 12, 15, 20
22, 1256, 22.005573, 2, 274, 10, 14, 18
23, 1290, 21.274419, 3, 328, 10, 12, 17
24, 1467, 19.149284, 2, 224, 9, 12, 16
25, 1469, 18.507828, 2, 372, 9, 11, 15
26, 1412, 19.530453, 3, 353, 9, 11, 16
27, 1593, 17.622097, 3, 347, 8, 11, 15
28, 1576, 17.454315, 2, 299, 8, 11, 14
29, 1593, 17.539862, 3, 277, 8, 11, 14
30, 1558, 18.477535, 0, 358, 9, 11, 15
31, 1479, 18.741041, 0, 397, 8, 12, 16
32, 1555, 17.927974, 0, 503, 8, 11, 15
33, 1589, 18.158590, 3, 266, 9, 11, 15
34, 1501, 18.363091, 2, 381, 9, 11, 15
35, 1458, 19.251029, 2, 309, 9, 12, 16
36, 1451, 19.297037, 4, 250, 9, 12, 16
37, 1420, 19.391549, 1, 418, 9, 12, 15
38, 1292, 21.116099, 3, 273, 10, 12, 17
39, 1439, 19.879778, 3, 290, 10, 13, 16
40, 1422, 19.395218, 2, 427, 9, 12, 16
41, 1292, 21.045666, 1, 484, 10, 13, 17
42, 1218, 23.557471, 2, 602, 10, 13, 19
43, 1246, 21.944623, 1, 367, 10, 13, 18
44, 1350, 21.474815, 1, 364, 10, 13, 18
45, 1361, 20.617928, 2, 321, 10, 13, 17
46, 1295, 21.685714, 1, 414, 10, 13, 18
47, 1423, 19.490513, 2, 330, 9, 11, 16
48, 1301, 20.377402, 1, 403, 9, 12, 17
49, 1381, 19.982621, 2, 348, 9, 12, 17
50, 1568, 18.291454, 2, 359, 9, 11, 15
51, 1506, 18.872510, 1, 309, 9, 12, 15
52, 1441, 19.405274, 2, 333, 9, 12, 16
53, 1424, 19.424157, 0, 433, 9, 11, 16
54, 1518, 18.899209, 1, 325, 9, 12, 15
55, 1389, 19.331893, 2, 294, 9, 11, 16
56, 1435, 19.485017, 2, 298, 9, 12, 16
57, 1357, 20.684598, 0, 328, 9, 12, 17
58, 1516, 18.358179, 1, 345, 9, 11, 15
59, 1501, 18.654897, 3, 297, 9, 11, 15
60, 9, 15.000000, 8, 48, 8, 11, 15
