time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 2479, 11.358209, 0, 159, 3, 6, 13
1, 2569, 11.091086, 0, 166, 3, 6, 11
2, 2446, 11.472200, 0, 140, 4, 7, 11
3, 2524, 11.450475, 0, 207, 4, 7, 11
4, 2449, 11.430788, 0, 170, 3, 7, 12
5, 2630, 10.869582, 0, 131, 3, 6, 12
6, 2562, 10.798595, 0, 139, 4, 6, 11
7, 2510, 11.146614, 0, 142, 3, 6, 12
8, 2453, 11.915614, 0, 171, 4, 7, 12
9, 2069, 13.494442, 1, 155, 4, 8, 14
10, 1939, 14.957710, 1, 236, 5, 9, 15
11, 1721, 16.800697, 0, 241, 5, 10, 17
12, 1522, 18.065046, 1, 213, 6, 10, 18
13, 1424, 20.453652, 1, 366, 8, 13, 22
14, 1380, 21.489855, 1, 347, 7, 13, 21
15, 1186, 24.379427, 1, 423, 7, 14, 24
16, 1223, 23.699918, 1, 298, 7, 14, 24
17, 1127, 23.559894, 1, 414, 7, 13, 23
18, 1280, 23.584375, 1, 354, 7, 13, 23
19, 1205, 23.794191, 1, 338, 6, 13, 25
20, 1438, 19.721836, 1, 258, 7, 12, 20
21, 1404, 20.290598, 0, 313, 5, 12, 23
22, 1444, 20.583795, 1, 318, 6, 11, 22
23, 1790, 15.484358, 1, 182, 4, 9, 16
24, 1900, 14.753158, 0, 178, 4, 8, 14
25, 2108, 13.234345, 0, 157, 4, 8, 13
26, 2236, 12.529517, 0, 146, 4, 7, 13
27, 2288, 12.261364, 0, 170, 4, 7, 12
28, 2532, 11.458926, 0, 172, 4, 7, 11
29, 2514, 11.188544, 0, 175, 3, 6, 12
30, 2506, 11.344374, 0, 182, 4, 7, 11
31, 2380, 11.771008, 0, 169, 3, 6, 11
32, 2488, 11.437299, 0, 144, 3, 7, 12
33, 2389, 11.748430, 0, 131, 4, 7, 12
34, 2343, 11.952625, 0, 142, 4, 7, 12
35, 2312, 12.285900, 0, 180, 4, 7, 12
36, 2166, 12.933056, 1, 147, 4, 7, 13
37, 2143, 13.192720, 0, 134, 4, 8, 14
38, 2035, 13.975921, 1, 189, 5, 8, 14
39, 1914, 14.949321, 0, 195, 5, 8, 14
40, 1954, 14.392016, 1, 191, 4, 9, 16
41, 1935, 14.362274, 1, 222, 5, 8, 14
42, 1993, 14.327145, 1, 262, 5, 8, 14
43, 1953, 14.469534, 0, 257, 5, 9, 15
44, 1830, 15.127322, 0, 210, 5, 8, 16
45, 1902, 14.961094, 0, 161, 5, 9, 15
46, 1816, 15.465859, 1, 241, 4, 9, 16
47, 1911, 15.022501, 1, 207, 5, 9, 16
48, 1953, 14.706093, 1, 201, 4, 9, 16
49, 2010, 14.280597, 0, 228, 5, 9, 15
50, 1940, 14.858247, 1, 164, 5, 9, 14
51, 2120, 13.191981, 1, 221, 5, 8, 13
52, 2185, 13.069565, 0, 183, 5, 8, 13
53, 2206, 12.942430, 1, 230, 5, 8, 13
54, 2173, 13.132075, 0, 167, 4, 8, 13
55, 2190, 12.654338, 0, 153, 4, 7, 13
56, 2153, 12.934974, 0, 163, 3, 7, 13
57, 2128, 13.101034, 0, 129, 4, 7, 14
58, 2259, 12.929172, 0, 125, 4, 7, 13
59, 2128, 12.980733, 0, 157, 4, 8, 13
60, 14, 12.857143, 2, 92, 5, 7, 10
